eccentricity,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.95
Sommerfield,4.32,2.03,1.21,0.784,0.508,0.318,0.184,0.0912,0.0309,0.0116
attitude angle,82,75,68.5,61.53,55,48,41,33,23.5,17
Friction number,82.1,37.71,22.55,14.75,9.94,6.67,4.33,2.59,1.27,0.7
Flow coefficient,0.0938,0.187,0.281,0.374,0.468,0.562,0.657,0.751,0.845,0.89
Torque coefficient,19,18.57,18.64,18.81,19.57,20.97,23.53,28.4,41.1,60.34
