eccentricity,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.95
Sommerfield,1.33,0.631,0.388,0.26,0.178,0.12,0.0776,0.0443,0.0185,0.00831
attitude angle,79.5,74,68,62.5,56.5,50.5,44,36,26,19
Friction number,25.36,11.87,7.35,5.07,3.67,2.7,1.99,1.4,0.859,0.563
Flow coefficient,0.0801,0.159,0.237,0.314,0.39,0.466,0.542,0.616,0.688,0.721
Torque coefficient,19.06,18.81,18.94,19.5,20.62,22.5,25.64,31.6,46.43,67.75
